지역코드,시도,시군구
0,강원특별자치도,강릉시
1,강원특별자치도,고성군
2,강원특별자치도,동해시
3,강원특별자치도,삼척시
4,강원특별자치도,속초시
5,강원특별자치도,양구군
6,강원특별자치도,양양군
7,강원특별자치도,영월군
8,강원특별자치도,원주시
9,강원특별자치도,인제군
10,강원특별자치도,정선군
11,강원특별자치도,철원군
12,강원특별자치도,춘천시
13,강원특별자치도,태백시
14,강원특별자치도,평창군
15,강원특별자치도,홍천군
16,강원특별자치도,화천군
17,강원특별자치도,횡성군
18,경기도,가평군
19,경기도,고양시
20,경기도,과천시
21,경기도,광명시
22,경기도,광주시
23,경기도,구리시
24,경기도,군포시
25,경기도,김포시
26,경기도,남양주시
27,경기도,동두천시
28,경기도,부천시
29,경기도,성남시
30,경기도,수원시
31,경기도,시흥시
32,경기도,안산시
33,경기도,안성시
34,경기도,안양시
35,경기도,양주시
36,경기도,양평군
37,경기도,여주시
38,경기도,연천군
39,경기도,오산시
40,경기도,용인시
41,경기도,의왕시
42,경기도,의정부시
43,경기도,이천시
44,경기도,파주시
45,경기도,평택시
46,경기도,포천시
47,경기도,하남시
48,경기도,화성시
49,경상남도,거제시
50,경상남도,거창군
51,경상남도,고성군
52,경상남도,김해시
53,경상남도,남해군
54,경상남도,밀양시
55,경상남도,사천시
56,경상남도,산청군
57,경상남도,양산시
58,경상남도,의령군
59,경상남도,진주시
60,경상남도,창녕군
61,경상남도,창원시
62,경상남도,통영시
63,경상남도,하동군
64,경상남도,함안군
65,경상남도,함양군
66,경상남도,합천군
67,경상북도, 고령군
68,경상북도,경산시
69,경상북도,경주시
70,경상북도,고령군
71,경상북도,구미시
72,경상북도,김천시
73,경상북도,문경시
74,경상북도,봉화군
75,경상북도,상주시
76,경상북도,성주군
77,경상북도,안동시
78,경상북도,영덕군
79,경상북도,영양군
80,경상북도,영주시
81,경상북도,영천시
82,경상북도,예천군
83,경상북도,울릉군
84,경상북도,울진군
85,경상북도,의성군
86,경상북도,청도군
87,경상북도,청송군
88,경상북도,칠곡군
89,경상북도,포항시
90,광주광역시,광산구
91,광주광역시,
92,광주광역시,남구
93,광주광역시,동구
94,광주광역시,북구
95,광주광역시,서구
96,대구광역시,군위군
97,대구광역시,남구
98,대구광역시,달서구
99,대구광역시,달성군
100,대구광역시,
101,대구광역시,동구
102,대구광역시,북구
103,대구광역시,서구
104,대구광역시,수성구
105,대구광역시,중구
106,대전광역시,대덕구
107,대전광역시,
108,대전광역시,동구
109,대전광역시,서구
110,대전광역시,유성구
111,대전광역시,중구
112,부산광역시,강서구
113,부산광역시,금정구
114,부산광역시,기장군
115,부산광역시,남구
116,부산광역시,동구
117,부산광역시,동래구
118,부산광역시,
119,부산광역시,부산진구
120,부산광역시,북구
121,부산광역시,사상구
122,부산광역시,사하구
123,부산광역시,서구
124,부산광역시,수영구
125,부산광역시,연제구
126,부산광역시,영도구
127,부산광역시,중구
128,부산광역시,해운대구
129,서울특별시,강남구
130,서울특별시,강동구
131,서울특별시,강북구
132,서울특별시,강서구
133,서울특별시,관악구
134,서울특별시,광진구
135,서울특별시,구로구
136,서울특별시,금천구
137,서울특별시,노원구
138,서울특별시,도봉구
139,서울특별시,동대문구
140,서울특별시,동작구
141,서울특별시,마포구
142,서울특별시,서대문구
143,서울특별시,
144,서울특별시,서초구
145,서울특별시,성동구
146,서울특별시,성북구
147,서울특별시,송파구
148,서울특별시,양천구
149,서울특별시,영등포구
150,서울특별시,용산구
151,서울특별시,은평구
152,서울특별시,종로구
153,서울특별시,중구
154,서울특별시,중랑구
155,세종특별자치시,
156,울산광역시,남구
157,울산광역시,동구
158,울산광역시,북구
159,울산광역시,
160,울산광역시,울주군
161,울산광역시,중구
162,인천광역시,강화군
163,인천광역시,계양구
164,인천광역시,남동구
165,인천광역시,동구
166,인천광역시,미추홀구
167,인천광역시,부평구
168,인천광역시,서구
169,인천광역시,연수구
170,인천광역시,옹진군
171,인천광역시,
172,인천광역시,중구
173,전라남도,강진군
174,전라남도,고흥군
175,전라남도,곡성군
176,전라남도,광양시
177,전라남도,구례군
178,전라남도,나주시
179,전라남도,담양군
180,전라남도,목포시
181,전라남도,무안군
182,전라남도,보성군
183,전라남도,순천시
184,전라남도,신안군
185,전라남도,여수시
186,전라남도,영광군
187,전라남도,영암군
188,전라남도,완도군
189,전라남도,장성군
190,전라남도,장흥군
191,전라남도,진도군
192,전라남도,함평군
193,전라남도,해남군
194,전라남도,화순군
195,전북특별자치도,고창군
196,전북특별자치도,군산시
197,전북특별자치도,김제시
198,전북특별자치도,남원시
199,전북특별자치도,무주군
200,전북특별자치도,부안군
201,전북특별자치도,순창군
202,전북특별자치도,완주군
203,전북특별자치도,익산시
204,전북특별자치도,임실군
205,전북특별자치도,장수군
206,전북특별자치도,전주시
207,전북특별자치도,정읍시
208,전북특별자치도,진안군
209,제주특별자치도,서귀포시
210,제주특별자치도,제주시
211,제주특별자치도,
212,충청남도, 논산시
213,충청남도,계룡시
214,충청남도,공주시
215,충청남도,금산군
216,충청남도,논산시
217,충청남도,당진시
218,충청남도,보령시
219,충청남도,부여군
220,충청남도,서산시
221,충청남도,서천군
222,충청남도,아산시
223,충청남도,예산군
224,충청남도,천안시
225,충청남도,청양군
226,충청남도,태안군
227,충청남도,홍성군
228,충청북도,괴산군
229,충청북도,단양군
230,충청북도,보은군
231,충청북도,영동군
232,충청북도,옥천군
233,충청북도,음성군
234,충청북도,제천시
235,충청북도,증평군
236,충청북도,진천군
237,충청북도,청주시
238,충청북도,충주시
